YB,YB_long,YB_lat,8umphotom,12umphotom,24umphotom,70umphotom,8flag1,12flag1,24flag1,70flag1
ID Number,degree,degree,Jy,Jy,Jy,Jy,Saturated,Saturated,Saturated,Saturated
822,23.0583281,-0.643023692,1.55911,0.45201,0.55576,10.61723,0,0,0,0
823,23.05888791,0.60903198,0.67312,0.35728,0.83096,14.30731,0,0,0,0
824,23.06099877,0.069619617,0.70258,0.22405,0.62032,11.27774,0,0,0,0
825,23.06194011,0.094833466,0.85703,0.1681,0.27978,18.91903,0,0,0,0
826,23.06621476,0.380448869,0.49301,0.28985,0.66553,23.8251,0,0,0,0
827,23.0699251,-0.623653581,0.26515,0.05097,0.42753,3.20237,0,0,0,0
828,23.10284404,0.153498574,0.10904,0.03985,0.08118,2.65847,0,0,0,0
829,23.11357641,0.163522177,0.58712,0.17934,0.63996,27.31335,0,0,0,0
830,23.14285425,-0.477761916,0.54956,0.08412,0.6568,14.77805,0,0,0,0
831,23.15420705,0.515037039,0.08461,0.03041,0.40215,9.57753,0,0,0,0
832,23.15595772,-0.321614661,1.06723,0.68288,8.3044,37.3885,0,0,0,0
833,23.15766661,-0.354990951,1.90279,0.64188,3.16226,34.97798,0,0,0,0
834,23.19761882,-0.000430381,3.63609,1.25648,,179.61231,0,0,1,0
835,23.24026467,-0.113763292,0.22815,0.23723,1.05652,59.18778,0,0,0,0
836,23.2421272,-0.240105742,0.27109,0.02179,0.1787,15.60302,0,0,0,0
837,23.25432541,-0.240070001,1.6233,0.44707,2.42821,62.86616,0,0,0,0
838,23.25606035,-0.645287333,0.0392,0.02627,0.40035,3.88987,0,0,0,0
839,23.26384044,0.03382784,0.25818,0.40283,5.05496,12.91063,0,0,0,0
840,23.2638946,0.076882722,2.78019,0.62505,,275.8437,0,0,1,0
841,23.31553079,-0.301483008,0.56947,0.14293,0.68912,73.91059,0,0,0,0
842,23.37852874,0.451257918,1.05143,0.3793,1.86349,25.35315,0,0,0,0
843,23.38703969,-0.290859284,0.46322,0.34971,0.55966,0.27449,0,0,0,0
844,23.43594792,-0.15132774,1.34977,0.37107,1.87425,37.17524,0,0,0,0
845,23.43948175,0.059472071,0.44421,0.04731,0.23537,9.61915,0,0,0,0
846,23.4401711,-0.239270104,1.42375,0.41126,6.06869,60.10852,0,0,0,0
847,23.45264622,-0.37647226,0.31018,0.1258,0.822,21.11455,0,0,0,0
848,23.45801471,0.065696291,3.87352,0.95903,10.80076,187.66346,0,0,0,0
849,23.55208638,-0.034152966,1.52538,1.11183,,37.55677,0,0,1,0
850,23.58507796,0.028925361,1.88856,1.56478,13.12108,99.69879,0,0,0,0
851,23.60379463,-0.203838855,0.3436,0.20519,2.69651,1.61756,0,0,0,0
852,23.67170115,0.577754534,0.24101,0.02597,0.07571,8.21632,0,0,0,0
853,23.7027687,-0.196693323,1.13778,0.15805,2.73838,46.78714,0,0,0,0
854,23.70497661,0.164425263,6.07108,,,241.41212,0,1,1,0
855,23.70775081,0.185823567,0.30216,0.08151,1.82138,30.78935,0,0,0,0
856,23.70987828,0.17087889,2.85348,,,397.46485,0,1,1,0
857,23.73160032,-0.189169854,0.49143,0.12896,2.29682,29.09292,0,0,0,0
858,23.73436967,-0.023905299,0.03025,0.06588,0.35628,8.18882,0,0,0,0
859,23.74016326,-0.016484748,0.09215,0.04494,0.34996,14.38686,0,0,0,0
860,23.74885831,0.432714515,0.0989,0.06651,0.11458,5.1034,0,0,0,0
861,23.77046051,0.149446913,0.24866,0.01555,0.13414,28.89258,0,0,0,0
862,23.82094542,-0.038335074,0.05935,0.13703,1.33788,8.80654,0,0,0,0
863,23.82441887,0.135472154,0.59712,0.51149,1.92951,32.4562,0,0,0,0
864,23.86135201,-0.124952171,0.89822,0.31159,5.17672,89.44721,0,0,0,0
865,23.87230763,-0.11963368,2.2842,0.16342,,88.46872,0,0,1,0
866,23.87422502,-0.112360853,1.07701,0.14632,,27.4541,0,0,1,0
867,23.88045976,-0.351095169,9.11491,2.63615,6.13166,153.09278,0,0,0,0
868,23.89810686,0.064906261,0.82638,0.58884,,155.5017,0,0,1,0
869,23.90020709,0.074820148,0.55464,0.12109,0.72452,20.23388,0,0,0,0
870,23.90476088,-0.277930822,0.24337,0.17733,0.4468,16.90946,0,0,0,0
871,23.95472044,0.149764765,42.6617,,,1872.92696,0,1,1,0
872,23.95604945,-0.113561957,0.17814,0.04647,0.23497,9.87519,0,0,0,0
873,23.98676325,-0.089063939,1.24124,0.54621,4.21682,79.63293,0,0,0,0
874,24.02501567,0.196663881,0.59305,0.10755,1.01995,42.08995,0,0,0,0
875,24.04308346,0.204289582,1.58896,0.53802,1.61709,60.74224,0,0,0,0
876,24.07377401,-0.041262528,0.07539,0.04263,0.15846,2.2548,0,0,0,0
877,24.09377345,0.456001956,1.11322,0.9518,4.26135,46.50474,0,0,0,0
878,24.13110233,0.12239116,0.53205,0.24058,4.07518,24.13893,0,0,0,0
